Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Vmin_24h,Vmax_24h,Sev_Vmin_pct,Sev_Vmax_pct,Sev_VminVmax_pct,Seed
90,0,0,0,17,17,2126.7949,81.0755,15101.2545,-32780.6613,54.6344,0.9622,1.2229,0.0,32.1078,32.1078,197
90,0,0,0,17,17,2547.8514,97.0196,17619.5764,-41123.431,68.5391,0.9622,1.2031,0.0,27.6961,27.6961,198
90,0,0,0,16,16,4143.0283,97.0196,23058.8692,-44513.2817,74.1888,0.9622,1.3009,0.0,25.9804,25.9804,199
90,0,0,0,17,17,2233.6937,97.0196,16301.9543,-33376.9922,55.6283,0.9622,1.217,0.0,28.4314,28.4314,200
100,0,0,0,17,17,3374.7242,97.0196,20826.3187,-38777.9599,64.6299,0.9622,1.2867,0.0,34.5588,34.5588,201
100,0,0,0,17,17,3093.1828,97.0196,19751.4001,-46017.4411,76.6957,0.9622,1.2178,0.0,28.4314,28.4314,202
100,0,0,0,17,17,6559.3643,97.0196,31962.5361,-56270.62,93.7844,0.9622,1.3417,0.0,26.9608,26.9608,203
100,0,0,0,17,17,1620.9547,63.3554,12896.1419,-39279.654,65.4661,0.9622,1.1447,0.0,33.0882,33.0882,204
100,0,0,0,17,17,2599.751,97.0196,17053.2171,-44282.5435,73.8042,0.9622,1.198,0.0,32.8431,32.8431,205
100,0,0,0,17,17,9170.9239,97.0196,41835.4533,-58265.7568,97.1096,0.9622,1.4153,0.0,25.7353,25.7353,206
100,0,0,0,17,17,5254.8551,97.0196,27701.7805,-53605.6346,89.3427,0.9622,1.3089,0.0,27.451,27.451,207
100,0,0,0,17,17,4943.5443,97.0196,26492.7204,-53053.7381,88.4229,0.9622,1.2936,0.0,27.9412,27.9412,208
100,0,0,0,15,15,4205.012,97.0196,25310.1973,-39811.9012,66.3532,0.9622,1.2705,0.0,28.9216,28.9216,209
100,0,0,0,17,17,3946.112,97.0196,23787.1907,-40518.1742,67.5303,0.9622,1.2912,0.0,30.6373,30.6373,210
